Answer (English),color_sum,threat_sum,fading_sum,form_sum,kinesthetics_sum
"Well after that it's a lot uh end, yeah sort of spiders, spiders or cobwebs.",1,0,0,0,0
"It could also be leaves, leaves of a fine tree...",1,0,0,0,0
"We could see four faces there, or two more, so there on the other hand who are not looking at each other, who are back to back.",0,0,0,0,1
"I could even say even more (laughs), uh, then there would be four faces back to back, not even six. And uh, four faces facing each other looking at each other. ^

That's it, that's all good.
",0,0,0,0,1
A bat,0,0,0,1,0
A beetle,0,0,0,1,0
An ink stain not blood...yeah,1,0,0,0,0
It looks like it's a bat taking flight and a beetle below,0,0,0,0,1
A monster with eyes and a mouth that looks at me evilly. Like the clown from... you know that,0,1,0,0,1
Oh ! Some blood,1,0,0,0,0
The bone we have in the skull,0,0,0,1,0
Blood stains for example as if you had scarified yourself and had written on a wall with [mimes the scarification on the arm],1,0,0,0,1
Two little pig heads. Yes there is that.,0,0,0,1,0
As if those were footprints and that was the blood we got when we scarified ourselves and it dripped a little on the steps.,1,0,0,0,1
"A fighter plane that reminds us of the army, war where blood can be.",1,0,0,0,0
As if the two little pigs were high-fiving each other.,0,0,0,0,1
"A fog, shapes of monsters behind where there is the negative, a fog which would hide certain parts",0,1,1,0,1
A butterfly,0,0,0,1,0
"There are always these blood stains after a... like after a scarification, the blood flows whereas before I said that the blood was put on the wall but here it flows [mimes the scarification on the arm and the blood which flows]",0,1,1,0,1
The butterfly is like the sternum and that is the monster that permanently imprisons me.,0,1,0,0,1
"I feel like it’s a representation of my body, the heart around it with a string, a crushed heart.",0,0,0,1,0
The monster for the depression and the fog for the fact that I'm lost or the mask to show that I'm okay.,0,1,0,0,0
"I see a huge monster. It’s the pet peeve that I have deep down in my head. For me it's the anger, the rage that I have deep inside me. I'm almost afraid.",0,1,0,0,0
"It’s all the darkness, the emptiness, the darkness that I feel all the time. That one is scary.",1,1,0,0,0
A monster that wants and engulfs me. That one is scary.,0,1,0,0,1
I would say a butterfly which has just been transformed between the larva and the butterfly,0,0,0,0,1
I see wings. I don't know about that one.,0,0,0,1,0
"Wings of a butterfly which has just transformed which leaves in life but it is black. It looks like he is going to face life but not quite face it because he is all black and does not yet have his colors. It’s a bit like me facing the outside world. There is this monster from before which prevents me from taking flight.

So.",1,0,0,0,1
A sword... black is less intense.,1,0,0,0,0
"I
see the monster from before [plate IV] as if the butterfly from before [plate V]
as if the sword was stuck in the monster and passed through the butterfly which
would represent my heart.",0,1,0,0,1
I feel like that represents when I have anxiety attacks...,0,1,0,0,0
"A knife stuck in my heart. There is too much black, before there was red and space. There is no more space, everything is black, the heart has been pierced by a sword.",0,0,0,0,1
It represents death since the sword is in the shape of a cross... to plant the sword in the heart is to kill someone. It's like when I have my anxiety attacks. I could put it on the wall and say these are my anxiety attacks.,0,1,0,0,0
The sword has the shape of a cross but is alive as if it had a superior force that would decide and not my will as if it depended on something else,0,0,0,0,1
Hm... I don't know... it worries me a little... the image has too much white and the black is not black enough. It makes me think of air because the space seems fluid.,1,0,0,0,0
"It’s the freedom that we breathe fresh in the morning

Yeah honestly I don't know

It [the board] seems innocent, this gray is innocent compared to the other images.

I think that’s what I was looking for, this feeling of freedom that I never knew. That's what bothers me.",0,0,0,0,1
Oh lots of colors! Little marmots on the side,0,0,0,1,0
A skull… dog bone. It's colorful. This card doesn't understand me at all. It really scares me because it’s what I’ve never known.,0,0,0,1,0
My body fighting and making me anxious. These are all things that are inaccessible.,0,1,0,0,1
"More color [squints to show displeasure or discomfort but smiles] Deer antlers
",0,0,0,1,0
A rocket taking off,0,0,0,0,1
"The progress of life. Baby pink. This is the road of life and we arrive at the orange, the red side, the blood of death",1,0,0,0,0
The open door to the suite. Life after death finally paradise or hell... depending on beliefs. This image is positive. It doesn't thrill me like the others where I felt the image. It seems so far from me.,0,0,0,1,0
And there again the butterfly. I don't know,0,0,0,1,0
"It also makes me think of freedom, full of things like...",0,0,0,1,0
"Since there are several colors, it is about being happy, marveling at every detail of life.",1,0,0,0,1
Pink as if life is beautiful.,1,0,0,0,0
"The pink of marmots like when babies are born, they are a little purplish. I have difficulty on this level [starts to say the word board without finishing the word]… the colors

I don't know... honestly I don't know
",1,0,0,0,0
"She's beautiful that one
A field of flowers
",0,0,0,1,0
"Fireworks. With these different colors, it makes me think of savoring the little moments in life you know like when we say to enjoy the little moments in life.",0,0,0,1,0
"It’s a positive image that I can accept. I'm not shocked like the others, where there was a barrier. This inspires me with positivity, life with a capital T if I may say so, the fact of getting better as if life is a final bouquet with moments where it sparkles and moments when it sparkles less. I like this image.",0,0,0,0,1
"And you could say that the pink lines are the journey I'm taking here anyway, as if I'm being reborn.",1,0,0,0,1
There I see birds.,0,0,0,1,0
"Green, trees, the feeling of calm in the forest


I find it calming [the board]
",1,0,0,0,0
"I see lots of things at the same time... Kinds of fairies.
  It doesn't look like much
  Fairies on a fountain or carrying a dress
 It’s a bit stressful!
 
 
 And how do we do the tasks?",0,1,0,0,1
"A path that leads to a castle with stairs.
 I have an imagination, all the same!",0,0,0,1,0
"No, it's not pigs... a kind of rabbit, no, donkeys, baby donkeys.",0,0,0,1,0
"And hands... holding a glass.
 
 I have an imagination, all the same!",0,0,0,0,1
Ah! It's scary! I just thought of something weird. Two women looking at each other.,0,0,0,0,1
A butterfly in the middle.,0,0,0,1,0
"Kinds of ants or insects. They have a beak, lady birds.
 
 It's weird and stressful at the same time.",0,1,0,0,0
*Laughs* Grimace* I can’t see. A kind of alien with a big jacket. Yes that's it. The queen of the aliens.,0,0,0,1,0
"A kind of insect that flies. Yes, a butterfly. No, not really, a creature that can fly.",0,0,0,1,0
"An insect coming out of a hole, a kind of sea creature coming out of a hole...",0,0,0,0,1
that comes out of the mouth of a large animal.,0,0,0,0,1
"I can't see, it looks like some sort of big thing, a portal. We go underneath…",0,0,0,1,0
which hangs with lions in robes.,0,0,0,1,0
"Wow, it’s colorful! It is the reflection of an animal on the water, which is walking.",0,0,1,0,1
"There is an explosion, we see the explosion coming out of the hole, an explosion of colors. Phew! Pink. That’s the volcano, what’s inside, and that’s the explosion.",1,0,0,0,0
"I can't see what it is. They look like... not pelicans, the pink sea things. Um... I don't know what they're called. A sea animal with a monkey head that blows into a shell to make noise.",1,0,0,0,1
And little mice further on.,1,0,0,0,0
"An insect with two large wings, small mandibles. It's hard to see something else when you've already seen something.",0,0,0,1,0
Not masses... almost an ancient warrior's helmet.,0,0,0,1,0
"I thought I had imagination! Two tight legs, with the contours, two big croquenots, a bit comic book style.",0,0,0,0,1
"The two red spots, two profiles looking at each other: eye, eyebrow, nostril.",0,0,0,0,1
She doesn't inspire me much. An insect head with antennae,0,0,0,1,0
Ah! A woman's penis,0,0,0,1,0
And below the tip of a man's penis with the foreskin pulled up... I wasn't careful.,0,0,0,1,0
"That’s funny! The black spots, two African women grinding millet.",1,0,0,0,1
It looks a bit like two electric guitars.,0,0,0,1,0
"In the other direction, another insect: head, mandibles, legs on each side.",0,0,0,1,0
"In both directions, also an insect head, it's the jagged side of the shapes that must do that.",0,0,0,1,0
A caricature of the Italian boot,0,0,0,1,0
A dog's head with muzzle and lips,0,0,0,1,0
Two elephant heads with rising trunks.,0,0,0,0,1
"At the top, two camel heads with the protrusion of the brow bone.",0,0,0,1,0
A butterfly.,0,0,0,1,0
A bat,0,0,0,1,0
"A screaming gull, wings open.",0,0,0,0,1
"A rabbit crushed on the road, ears and legs",0,1,0,0,0
"it could be an animal skin, head, muzzle, mustache. I only see animals.",0,0,0,1,0
It's hard to see a jet in there.,0,0,0,1,0
"At the top, two fists with thumbs up.",0,0,0,0,1
"Two characters with their backs to each other. They are in profile, head forward, slightly lowering their heads.",0,0,0,0,1
"An animal that jumps, that steps over something, a feline.",0,0,0,0,1
An orchid flower,1,0,0,0,0
A woman's penis with pubis.,0,0,0,1,0
"At the limit, the two green spots, the profiles of a bear with a little ear.",0,0,0,1,0
"A man coming down from the sky with big wings, who is going to land, a cosmonaut. Instead of the parachute there are wings.",0,0,0,0,1
"In the middle a face drawn by a child: yellow eyes, eyebrows, mouth.",1,0,0,0,0
"It's funny, this drawing... Something... related to cosmogony, the galaxy, fireworks.",1,0,0,0,1
"it could be the face of the devil with horns and, above it, an angel, a fallen angel. It's esoteric, it's a vision of the universe, but it's happy enough for the forces of evil.",1,0,0,0,0
"A woman's penis. I could have said this for all the drawings because of the folding. This is the funniest task, others were stricter, more worrying.",0,0,0,1,0
"Argh in addition one can
 even make an elephant, like the trunk
 trunk, the leg and all that, with
 one of these",0,0,0,1,0
"It can be horses
 also",0,0,0,1,0
"But on the same
 logic, in fact, I'll be honest with you
 honest with you, it made me
 reminded me of a rabbit
 unable to describe it to you, ah
 if perhaps the nose a little there
 (watch)
 The funny thing is
 the ear that's going up and
 and all that, and the paw which is
 a bit on the wrong side but
 humm At first, when I thought of a
 rabbit, I didn't think it was dead
 (laughs) it's just that once
 you try to land on the thing
 that..",0,0,0,1,0
"And here in this sense (shows me
 shows me the board
 him upside down with what he sees) it
 makes me think, but then it's
 funny, because it's not a
 shadow, it's the opposite, in fact
 the negative of a guy with a hat
 hat like Napoleon, you see,
 and here's his collar, you see, with the
 collar pulled up like this (gestures
 gestures) to keep warm,
 He's wearing a hat like Napoleon, you
 you know, and behind you've got the night and he's
 he's so brightly lit
 you can't see his face",1,0,1,0,0
"But in fact, in principle
 principle, it reminds me more of a painting
 a painting, because in fact you have
 things that would be .... And it
 actually flows, like you know you put the paint
 paint and stuff, you've made
 your Napoleon, it's cool, and then it just
 flows in fact (shows the underside
 image).",1,0,1,0,1
"And also an elephant, with
 the eyes, the trunk there, but
 obscure that (hides the rest
 image)",0,0,0,1,0
"And then like that, it
 a fire, and even more so
 even more than before, because
 you have the notion of wind that goes with it
 you see,",0,0,0,0,1
"You've got a little island where you've got
 a lot of smoke is emitted and you
 see three fire events,
 end you see or like
 gusts of wind that cause it to ""dissociate""
 ""dissociated"", the first one
 a column of smoke here, a second
 a second one here and another one there.
 You have the notion of fire with the wind
 now
 And given the shape, it could even be
 a campfire in fact. You've got
 really that slightly rounded side
 of flame. And it's like
 like you're trying to make
 smoke signals or something
 it",0,0,1,0,1
"And now that I've seen
 this, on the other side I see
 exactly the same thing. Just
 the wind's in the other direction, you see
 pretty the way it was..
 It's all the more coherent with the fact
 the fact that you see the smoke and then
 everything's white, in other words, your
 campfire, it's funny because
 you can't see the flames,
 another inconsistency, but it's got
 a lot of light around it, you
 you see.
 After that, it's mostly
 rationalization because what we
 is the fire.",0,0,0,0,1
"It reminds me of a
 sailboat too, but then don't ask me
 ask me where",1,0,0,0,0
"I can see it, and it's very pretty
 a mix between a bear and a dog,
 just the bear face, but
 but you've got really slender legs
 i don't know what it is,
 really well-built, you've got
 the shadow on the inside, this one's
 slightly darker (shows
 the legs).",1,0,1,0,0
": So in fact you have a
 kind of rock there, on which he's
 is moving forward, this one (the
 paw) is kind of in the void
 and it kind of lands on the other side It's pretty in that sense",1,0,0,0,1
"but then again it
 reminds me of a, shit,
 how do you say, a uterus for the
 uterus. With the tubes there (shows
 bear),",1,0,0,0,0
"That reminds me of a
 skeleton, but I think the
 white sides remind me
 reminds me of it.
 A rather bizarre skeleton, I agree
 agree
 Here you've got the eyes and the nose, it looks
 kind of stag's head, a bit like a
 skeleton, a bit of a weird deer
 This could be teeth, it's a weird animal
 animal that's half rodent,
 you know, because you've got the two
 front teeth that are part of the
 skeleton, the eyes here and
 it's a bit frightening, you see, because
 because I find your eyes a bit
 weird, you know",1,1,0,0,0
"It's a bit of a maze
 of Pan",1,0,0,0,0
": Then, for the time being, if we
 the jumping bear, in fact, it's really
 in fact, it's a real
 island. It makes me think of water
 with, like, the sun coming up
 coming up, you've got the morning dew
 and you've got the area a bit more with the
 islands with the fog on one side
 (gray) and the rising sun side
 (orange), with pretty flowers and
 in the middle the delta with a little
 less humidity and the sky",1,0,1,0,1
"humhum; There if you
 look only at the white, not the
 colors, you see two people
 having a conversation,
 You really have to look at the
 negative, the white with the table,
 the environment,
 It's meta, you see it could be
 us (laughs)",1,0,0,0,1
"there you have like eyes
 (shows), there's someone with a whitish
 whitish mask, the eyes and he has
 forehead with a kind of large
 skullcap, it's a big head",1,0,0,0,0
"It even reminds me
 a bit of a Japanese mask,
 the masks worn by the
 samurai wore. I know it doesn't
 look like that, but it makes me think
 like that to scare people
 typically. But he looks a bit stupid because I don't know
 don't know, the choice of colors for the
 mask aren't very scary,
 pink, light blue like this is
 very relaxing and the pink I find
 i don't find the pink very aggressive, you know. And on the same principle then,
 once again, it's actually
 interesting because it's really
 a lot of colors, it's not
 it's not just the colors, but it's full of
 of ....",1,0,0,0,0
"You see, we can still
 the fire I mentioned
 with the color playing
 enormously, but smoke
 pink is a bit weird
 (orange)",1,0,1,0,0
"In the broadest sense, there are
 so many heads, like a raccoon
 the white side with the darker
 darker one on top",1,0,0,0,0
"Again, eyes, ears
 ears, it reminds me of a
 panda, so the shape",1,0,0,0,0
"In this sense, it looks like
 a wedding dress, you know, you've got the
 arms, you've got a face with
 hair, the face is a little
 but you've got the hair",1,0,0,0,0
"If we go further, these
 could be wings
 (points to the green) and we're back to
 my angel",1,0,0,0,0
"Then it might make me think
 all the animals on Earth
 Earth, it makes me think of one
 animal again. The little ear, the nose, the mouth here, a bit
 weird",0,0,0,1,0
"This (pink) made me think
 impossible to explain
 explain. On steam trains,
 you have a servo that looks like this
 that just means I like my job (laughs)
 i like my job (laughs). At
 actually; it's called Newton's balls
 we call them and um, basically
 it's a spinning thing, the faster it
 faster it spins with the weight, the
 faster it spins, the further away it
 so it closes the tablecloth
 releases steam, so it releases more steam
 releases more steam, and as it releases more steam
 releases more steam, it spins
 slower, so it gets
 closer, and as it
 closer together, it squeezes a little
 it heats up, the pressure rises
 pressure and so on.
 But that's it",0,0,0,1,0
"now I do, but it took me
 time... but a valley
 with trees, a waterfall
 a bit in the middle like um..
 Initially, it looked like a valley
 a valley but in fact with the
 slightly rounded thing there, you could see the sun
 see the sun coming up behind
 into the valley.
 Then I saw a waterfall and
 actually, that might make you think
 might make you think of falling water
 it's got nothing to do with that because it's
 is not in the right direction but you really have this side of the valley, trees
 trees, you've got like here this uh...the
 mountain, but the sun
 comes through
 -there, on the other hand, it's
 really big sun but it's not
 but it's not that dazzling,
 so there you go",0,0,0,1,0
"Here I'm going a step further
 in terms of interpretation
 i actually have the impression that there's
 someone lying on a bed
 and someone who is
 like this (leaning
 elbows on the table) next to it, you see,
 and so the scene I'm interpreting
 is that there's a third character
 character, three colors three
 characters
 This one
 -is closer, with a big head
 big head, you see, it's a child
 This one is an adult (green)
 the dying man, and the kid
 kid next to him, watching the
 the scene.
 and another adult (orange)
 i see him as a dying adult
 (orange), which is quite funny, I think
 that it's the play of colors that
 it's maybe cliché but I see a man (green)
 i see a man (green), a
 woman (orange), and
 paradoxically, I see a little
 boy
 I think it's because it reminds me of a scene
 reminds me of a scene I've seen before
 in this case, but the genders are reversed
 they're reversed it was my aunt
 my great-grandfather, a great aunt I hardly know
 barely know.",1,0,0,0,1
"This area, once again
 again, in any case I think we always
 always see a bit of the same,
 thing, but here with the choice of
 colors, it really looks like an island
 and it's actually quite pretty because
 the colors are starting
 interesting.
 You've really got the island with the beginning
 of the orange tip and all that, you've got
 really the sea and the sky
 a little misty and all that
 really pretty Voilà
 It's funny because they only
 color at the end,",1,0,1,0,0
"It reminds me of a
 fly, more like a mosquito
 more like a super-thin proboscis,
 with big eyes",0,0,0,1,0
"Strange, I see a
 but in negative, meaning you've got, like, your legs here
 (points to the white), and I don't know
 why he's got this on his legs,
 a bra or something,
 you know, or a bra instead, and so the
 so the head's there except the proportions are
 proportions are weird, and this is the
 the kind of hollow neck (orange) you see, so it makes a super
 neck and no arms
 Especially since it's pretty weird
 atmosphere, uh I don't know
 it's completely bizarre, but I see it
 see it in a negative light, that's what's
 funny",1,0,0,0,0
"This reminds me of the
 eiffel Tower",1,0,0,0,0
"That reminds me of
 like crabs walking around
 with a leaf",0,0,0,0,1
"That reminds me of
 an ant walking around with, like
 with an autumn leaf",1,0,0,0,1
"that reminds me of eggs
 eggs There are a lot of things that make me think
 me think of food in here
 also",1,0,0,0,0
"You see that, it reminds me
 reminds me of shrimps Actually, I don't know
 had a good lunch, it reminds me
 kind of reminds me of
 food",1,0,0,0,0
"I really can't
 see the whole thing, it makes me think
 like seahorses, you know,
 and pesto (laughs), since I'm going for
 the theme of food
 and so there's continuity It doesn't inspire me too much, it's a pity
 it's the most colorful, the most
 plus....",1,0,0,0,0
"It's a bit capillotint
 a bit afterwards, but then you'll have a
 sun rising like this, and factories
 like this, and factories with smoke
 you've got the sun, and now I don't know
 don't know what the origin of this
 blue thing, but you still have this
 the notion of wind with the factory
 the factory side and the smoke that's a little
 a little more I don't know pink, I don't know what
 that's in contact with I don't know
 i don't know what else and it
 changes color.
 Anyway, everything's going in the same direction
 the same way That's it, in fact it doesn't inspire me
 a lot of inspiration",0,0,1,0,1
": It reminds me of a goat
 goat (laughs), and it's not too bad
 not too bad, I think.
 You know, goats and dogs
 they've got that too, in fact they've got a
 truffle, and a kind of 'fine' thing you
 you know, and then this (orange),
 reminds me a lot of the
 piff of a goat or a ... and that's what creates the trick with the
 eyes here (white watch)",1,0,0,0,0
"You've got a chasm, you see,
 you've got the edge of the abyss there, two
 two guys, two people holding hands
 holding hands and trying to
 like help each other over
 the chasm, you see, and you've got the view
 you're in low angle and you see the guys above trying to help each other cross the chasm
 cross the chasm, you know",0,0,1,0,1
